"FLG_RELATO_TORTURA","SIG_UF_ORIGEM_AUDIENCIA","ANO","MES","NUM_AUDIENCIAS"
N,MA,2019,5,269
N,,1968,1,1
N,PR,2017,12,1233
N,AP,2017,12,27
N,PR,2000,1,3
N,SP,1990,8,1
N,DF,2018,1,243
S,PI,2018,1,24
N,RO,1978,4,1
N,SP,1991,7,1
N,,2014,4,27
S,SP,2018,7,169
N,,1972,9,1
N,,1960,6,2
N,AC,2012,9,3
N,,2000,1,5
N,RS,2018,2,128
N,AC,2018,2,75
N,,1973,7,3
N,MA,1984,2,1
N,GO,1968,3,1
S,CE,2018,3,37
N,RO,2018,3,168
N,BA,1995,2,1
N,AC,2018,3,118
N,PR,2010,12,1
N,CE,2016,3,2
N,PB,2018,4,278
N,PA,2018,4,610
N,RS,2018,4,149
N,CE,2018,4,528
N,SP,2016,4,2
N,PR,1997,6,1
S,MT,2009,1,1
N,SC,1983,7,1
N,SP,1989,12,2
N,,1983,6,4
S,TO,2018,4,1
N,,1994,3,3
S,PA,2018,5,71
N,SE,2018,5,187
N,RS,2018,5,182
N,MA,2018,5,203
N,SC,2018,5,178
N,AP,2018,5,72
S,PR,2018,5,42
S,PE,2018,5,16
N,PR,1990,3,1
N,CE,1994,6,1
N,SP,1988,10,2
N,SP,1994,11,2
N,MA,1975,9,1
S,SP,2018,6,151
N,PB,2018,6,278
N,,1981,2,2
N,SE,2015,5,1
N,SP,1973,8,1
S,AL,2018,6,14
S,MG,2018,6,34
N,SP,1998,10,1
N,,1994,6,7
N,PA,1993,4,1
N,PB,2010,5,1
N,SP,1988,2,2
N,PE,2018,7,344
N,,1970,5,1
N,,2005,8,4
N,BA,2018,7,233
N,CE,1973,7,1
S,PB,2018,7,3
N,CE,2000,11,1
N,SP,1997,1,1
N,PB,2011,2,2
N,PB,1985,10,1
S,MT,2018,7,17
N,PR,1995,4,1
N,CE,2015,2,2
S,MA,2018,7,4
N,GO,2013,5,2
N,,1998,2,1
N,PR,2018,8,1129
N,PB,2018,8,309
N,CE,2019,9,677
N,MG,2019,9,1028
N,PI,2015,10,1
S,MA,2018,8,23
N,,2008,8,5
S,PB,2018,8,7
S,MT,2018,8,13
S,AL,2018,8,1
S,AC,2018,6,2
N,BA,1997,9,1
N,SP,1976,9,1
N,BA,2004,9,1
N,MG,2018,9,391
N,SE,2018,9,169
N,CE,2018,9,571
N,DF,2018,9,45
N,,1959,9,1
N,AP,2018,9,69
N,PI,2015,8,1
S,RS,2018,9,19
S,GO,2018,9,36
S,MT,2014,6,1
S,PI,2018,9,6
N,SP,1981,12,3
N,CE,2001,6,2
N,PB,2019,1,351
N,SP,1997,3,1
S,CE,2018,10,48
N,,1979,5,2
N,BA,2007,12,1
S,RS,2018,10,12
N,MA,2018,11,271
N,RO,2018,11,215
N,AL,2018,11,64
N,SC,1999,10,1
S,PR,2018,11,29
N,PB,2015,2,3
N,DF,1991,3,1
N,PR,1999,8,1
S,PI,2018,11,5
N,SP,1996,4,1
N,DF,1999,4,1
N,TO,2018,12,41
N,SP,1999,3,2
N,RS,2012,6,3
S,MG,2018,12,11
N,MG,1993,12,1
S,RO,2018,12,7
S,SC,2018,12,20
N,CE,1991,12,1
N,RO,1958,7,1
N,SC,1995,3,1
N,PR,1981,5,1
N,,1978,3,1
N,,1991,12,2
N,SE,1999,10,1
N,PA,1994,6,1
N,,1990,11,2
N,SP,1977,5,1
S,RS,2019,1,71
N,SP,1973,1,1
N,RS,1976,12,1
N,RS,2001,8,1
S,GO,2019,1,31
S,MA,2019,1,8
S,PE,2019,1,5
N,MA,2002,4,1
N,RS,2019,6,1155
N,BA,2019,2,404
N,AC,2019,2,111
S,MT,2019,2,15
N,SC,1998,2,1
N,SC,1998,11,1
N,,1985,3,3
S,CE,2019,2,38
S,PI,2019,2,11
N,RS,2012,12,5
N,PA,2005,10,1
S,PA,2019,3,47
N,PE,1998,1,2
N,SC,2019,6,371
N,MT,2014,2,1
N,RS,2013,6,3
N,,1999,9,5
N,MA,2013,3,1
N,PA,2012,12,1
N,MT,2010,7,1
N,PR,2019,7,873
N,CE,2019,4,837
S,PA,2019,4,51
S,PR,2019,4,22
N,MA,2014,5,1
N,CE,1966,11,1
N,PI,2007,6,1
S,RS,2014,8,1
N,PI,2014,12,2
N,RO,2019,5,174
N,AL,2019,5,178
S,,2019,5,188
S,MA,2019,5,4
S,AL,2019,5,15
S,BA,2019,5,46
N,CE,2011,7,1
N,PI,2010,1,1
N,SP,1983,4,1
N,RS,1974,10,1
N,SC,1997,10,1
N,PA,2007,3,2
N,CE,1981,10,1
N,CE,1997,4,1
S,MG,2019,6,83
S,,2019,6,162
N,GO,2015,4,3
N,PR,2009,5,1
N,BA,2019,6,181
S,PB,2019,6,5
N,MG,1998,9,2
N,SC,1992,3,1
N,,1982,2,1
N,RS,1986,1,1
S,PR,2019,7,34
S,MT,2019,7,11
N,AL,1996,2,1
N,,2022,3,11836
N,PI,2007,1,1
S,AC,2019,7,2
N,SE,2019,8,74
S,MG,2019,8,115
S,AM,2019,8,71
N,AP,2019,8,117
S,AM,,,63
N,CE,2013,5,1
N,AL,2008,11,1
N,RS,1996,8,1
N,SC,2014,8,1
N,PI,2000,1,1
S,PI,2019,9,11
S,PE,2019,8,1
N,BA,2019,9,228
N,RJ,2019,8,1
N,,2022,1,8751
N,DF,1971,6,1
N,,1973,2,1
N,CE,1978,6,1
I,,2019,4,18
I,PR,2019,9,5
I,SE,2019,9,8
I,RS,2019,6,1
N,CE,1978,2,1
N,,2020,2,10345
I,TO,2019,9,1
N,RO,2019,10,229
N,GO,2019,10,366
N,AL,2019,10,89
N,CE,2011,10,1
S,AC,2019,8,1
N,PE,2019,10,98
N,MG,1988,12,1
N,,2022,8,15215
S,AP,2019,10,4
N,PI,2012,8,1
N,,1979,3,4
N,GO,2015,7,1
N,CE,2019,11,576
S,CE,1998,7,1
S,MA,2019,11,16
N,SC,2019,12,356
S,GO,2019,12,89
N,AP,2020,1,40
S,MG,2020,1,129
N,BA,2020,1,147
N,AP,2019,12,48
N,AL,2020,1,99
N,,1985,12,1
N,MA,1997,12,1
S,AM,2019,2,1
S,SE,2019,12,4
N,AM,2019,2,1
S,PI,2019,12,12
N,RN,2019,9,1
S,MT,2020,1,31
N,GO,2012,11,2
N,CE,2012,6,1
N,CE,1993,11,1
N,MA,2020,2,76
S,MG,2020,2,81
N,RJ,2020,2,80
S,MT,2003,12,1
S,MA,2020,2,12
S,AM,2020,2,24
N,GO,2014,9,2
N,AP,2020,2,13
N,PA,2011,6,1
N,DF,2020,2,2
N,MG,2012,12,2
N,PB,2004,2,1
S,PB,2020,2,2
N,GO,2015,1,1
S,,1995,7,1
S,,2020,10,197
N,,1983,7,4
